name;type;price;fuel-type;year_of_make;kim;power;place
Škoda;Roomster;4995.83;Benzín;2010;185243;63;5 (5 miest)
Dacia;Logan;4995.83;Benzín;2020;30000;74;5 (5 miest)
Ford;C-Max;4995.83;Benzín;2007;168640;74;5 (5 miest)
Dacia;Logan;4995.83;Benzín;2010;172200;64;4 (5 miest)
Volkswagen;Golf;4995.83;Diesel;2010;240286;77;5 (5 miest)
Škoda;Fabia;4995.83;Benzín;2008;122200;51;5 (5 miest)
BMW;rad 5;4991.67;Diesel;2007;378000;145;4 (5 miest)
Škoda;Superb;4991.25;Benzín;2010;274984;92;5 (5 miest)
Volkswagen;Passat Variant;4990;Benzín;2007;232000;184;B6
Škoda;Roomster;4990;Diesel;2013;238000;66;5J mod.10
Opel;Astra;4990;Diesel;2012;285000;92;J mod.12
Opel;Movano Combi;4990;Diesel;2005;213500;84;F9/J9 mod.04
Škoda;Octavia;4990;Benzín;2009;275000;118;1Z mod.09
KIA;Picanto;4990;Benzín;2011;38000;51;5 (5 miest)
Audi;TT;4990;Benzín;1998;215000;132;8N
KIA;Cee’d;4990;Benzín+Plyn;2011;225000;77;5 (5 miest)
Opel;Meriva;4990;Benzín;2012;174700;88;B
Suzuki;Splash;4999.58;Benzín;2009;75883;63;5 (5 miest)
Škoda;Octavia Combi;4997.92;Benzín;2007;197537;85;5 (5 miest)
Mercedes;C trieda;4997.92;Diesel;2004;198821;90;4 (5 miest)
Citroen;C1;4997.92;Benzín;2012;99807;50;5 (4 miesta)
Seat;Leon;4997.92;Benzín;2009;184620;92;5 (5 miest)
Ford;Transit;4990;Diesel;2009;307350;81;5 (3 miesta)
Peugeot;308 SW;4990;Diesel;2012;239000;82;5 (7 miest)
KIA;Sorento;4999;Diesel;;4;227;Čierna
Opel;Insignia;4999;Diesel;2010;188750;96;0G-A
Škoda;Roomster;4999;Benzín;2011;139143;77;5J mod.10
Volkswagen;Polo;4999;Diesel;2011;234239;55;5 (5 miest)
Ford;Transit;4999;Diesel;2009;296000;63;5 (6 miest)
Audi;A6;4999;Diesel;2007;311000;103;5 (5 miest)
KIA;Sorento;4999;Diesel;2004;197490;103;JC
Lancia;Ypsilon;4999;Benzín;2012;58466;51;312
Hyundai;i20;4999;Benzín;2010;99270;57;5 (5 miest)
Seat;Ibiza;4999;Benzín;2009;101813;77;3 (5 miest)
BMW;rad 3;4999;Diesel;2008;234111;130;4 (5 miest)
Renault;Master Furgon;4999;Diesel;2003;111298;60;5 (9 miest)
Seat;Leon;4999;Diesel;2005;312000;110;1M1
Mercedes;W124;4999;Benzín;1992;357000;132;2 (5 miest)
BMW;rad 3 Touring;4999;Diesel;2009;206806;130;5 (5 miest)
Opel;Movano;4999;Diesel;2008;260000;88;2 (3 miesta)
Volkswagen;Touareg;5000;Diesel;2004;314000;128;7L
Škoda;Octavia Combi;5000;Diesel;2011;285000;77;1Z mod.09
Toyota;Celica;5000;Benzín;2006;105000;120;3 (5 miest)
Seat;Leon;5000;Diesel;2009;249000;77;1P1
Škoda;Rapid Spaceback;5000;Benzín;2014;215000;77;NH
BMW;rad 1;5000;Diesel;2008;237000;105;E87 mod.07
Ford;Fiesta;5000;Benzín;2009;89500;60;5 (5 miest)
Audi;A6;5000;Diesel;2009;413471;140;4F2 mod.08
Peugeot;3008;5000;Diesel;2012;325150;82;0U
Volkswagen;Touareg;5000;Diesel;2006;332000;165;7L
Opel;Insignia;5000;Benzín;2009;230000;162;0G-A
Dacia;Sandero;5000;Benzín;2014;89800;55;5 (5 miest)
Volkswagen;Sharan;5000;Diesel;2007;230000;103;7M mod.03
Volkswagen;T4 Transporter;5000;Benzín;1997;132830;62;7 mod.97
Opel;Movano;5000;Diesel;2006;287054;84;5 (3 miesta)
Škoda;Octavia;5000;Diesel;2009;175000;77;1Z mod.09
Renault;Laguna;5000;Diesel;2010;241000;110;BT mod.11
Toyota;Corolla Verso;5000;Diesel;2009;300000;100;R1 mod.07
Audi;TT;5000;Benzín;1999;194000;132;8N3
Toyota;RAV4;5000;Diesel;2004;200000;85;A2
Dacia;Dokker;5166.67;Benzín;2015;194000;61;4 (2 miesta)
Seat;Mii;5166.67;Benzín;2014;56000;44;5 (4 miesta)
Ford;Fiesta;5166.67;Diesel;2020;26928;63;5 (5 miest)
Citroen;DS3;5166.67;Benzín;2014;74677;115;2 (5 miest)
Volkswagen;Golf Variant;5166.67;Diesel;2008;261000;77;5 (5 miest)
Citroen;C3;5150;Diesel;2010;131621;50;SC mod.10
Ford;Fiesta;5150;Diesel;2014;198100;55;JA8 mod.13
Škoda;Octavia;5200;Diesel;2010;238700;77;1Z mod.09
Škoda;Octavia;5200;Benzín;2011;194302;75;1Z
Opel;Meriva;5200;Benzín;2011;124000;74;B
Seat;Altea XL;5200;Diesel;2010;200100;77;5P mod.09
Audi;A4 Cabriolet;5200;Benzín;2004;312000;162;8H
Jeep;Grand Cherokee;5200;Diesel;2006;281000;160;WH
Volkswagen;Polo;5200;Benzín;2011;153500;51;6R
Daihatsu;Taft;5200;Benzín;1979;90500;49;3 (6 miest)
Mercedes;M trieda;5200;Diesel;2003;302000;120;163 mod.01
Citroen;C4 Picasso;5250;Benzín;2008;144440;92;5
Ford;Transit Tourneo;5250;Diesel;2009;235500;85;N
Renault;Master Furgon;5250;Diesel;2005;234344;84;5 (3 miesta)
Citroen;DS3;5250.00;Benzín;2015;17668;60;5 (5 miest)
Škoda;Octavia Combi;5250.00;Benzín;2009;152589;118;5 (5 miest)
Ford;S-Max;5250.00;Diesel;2007;191420;103;5 (5 miest)
Mazda;6 Wagon;5245.83;Diesel;2011;263765;120;5 (5 miest)
Škoda;Fabia Combi;5300;Diesel;2012;145000;77;5J mod.10
Volkswagen;Passat Variant;5300;Diesel;2010;302000;103;B6
Volkswagen;Touran;5300;Diesel;2007;295000;77;1T mod.07
Volkswagen;Touran;5300;Benzín+Plyn;2011;201000;110;5 (5 miest)
Dacia;Sandero;5333.33;Diesel;2016;90896;66;5 (5 miest)
Volkswagen;Polo;5333.33;Benzín;2010;149300;44;5 (5 miest)
Audi;A3;5333.33;Diesel;2008;114000;77;3 (5 miest)
Škoda;Octavia;5300;Diesel;2011;272000;110;Biela metalíza
Jeep;Grand Cherokee;5300;Diesel;2002;253000;120;WJ
Chrysler;Grand Voyager;5375.00;Diesel;2007;224000;110;5 (7 miest)
Ford;S-Max;5375.00;Diesel;2006;253466;103;5 (5 miest)
Volkswagen;Golf;5375.00;Diesel;2008;146300;77;5 (5 miest)
Mercedes;A trieda;5375.00;Diesel;2007;154750;80;5 (5 miest)
Audi;A6 Avant;5375.00;Diesel;2006;237000;132;5 (5 miest)
Ford;S-Max;5375.00;Diesel;2009;293000;103;5 (7 miest)
Mitsubishi;Outlander;5400;Diesel;2008;250500;115;CW
Seat;Altea;5400;Diesel;2012;271270;77;5P mod.09
Volkswagen;T4 Caravelle;5400;Diesel;2002;461000;65;7
Renault;Fluence;5400;Benzín;2015;140000;84;LZ mod.13
Opel;Astra;5400;Benzín;2011;168000;103;J
KIA;Picanto;5412.50;Benzín;2014;76100;51;3 (5 miest)
Peugeot;308;5412.50;Benzín;2008;82351;103;5 (5 miest)
Hyundai;i20;5412.50;Benzín;2013;220000;74;5 (5 miest)
Škoda;Octavia;5412.50;Diesel;2009;164200;74;5 (5 miest)
Mini;Clubman;5412.50;Benzín;2009;133600;70;5 (5 miest)
Fiat;Qubo;5412.50;Diesel;2013;125300;55;5 (5 miest)
Škoda;Fabia Combi;5412.50;Benzín;2016;242500;66;5 (5 miest)
Škoda;Octavia;5412.50;Benzín;2005;120400;75;5 (5 miest)
Renault;Koleos;5412.50;Diesel;2009;238164;127;5 (5 miest)
Ford;EcoSport;5412.50;Benzín;2018;44000;92;5 (5 miest)
Ford;Focus Combi;5412.50;Benzín;2009;179527;92;5 (5 miest)
Suzuki;SX4;5416.67;Diesel;2013;73108;99;5 (5 miest)
Ford;Focus CC;5416.67;Benzín;2007;116080;74;3 (4 miesta)
Seat;Alhambra;5416.67;Diesel;2005;162000;110;5 (5 miest)
Mercedes;A trieda;5416.67;Benzín;2008;79972;70;5 (5 miest)
Seat;Alhambra;5416.67;Diesel;2005;205252;85;5 (5 miest)
Seat;Leon;5416.62;Benzín;2011;129226;77;5 (5 miest)
Renault;Mégane Grandtour;5416.62;Benzín;2013;205388;74;5 (5 miest)
Fiat;Punto;5416.62;Benzín;2012;101000;62;5 (5 miest)
Škoda;Octavia Combi;5416.62;Diesel;2011;182014;77;5 (5 miest)
Mazda;MX 5;5416.62;Benzín;2002;127440;81;5 (2 miesta)
Ford;Galaxy;5416.62;Diesel;2007;263978;103;5 (7 miest)
Fiat;Grande Punto;5416.62;Benzín;2012;101000;62;5 (5 miest)
KIA;Carens;5416.62;Benzín;2010;105418;106;5 (5 miest)
Ford;Transit;5416.62;Diesel;2010;206710;103;4 (3 miesta)
KIA;Cee’d Sporty Wagon;5490;Diesel;2012;210000;94;ED
Dacia;Dokker;5490;Diesel;2014;190728;66;5 (5 miest)
Suzuki;Grand Vitara;5490;Diesel;2006;201743;95;3 (5 miest)
Volkswagen;Touran;5490;Benzín;2008;186606;103;1T mod.07
Citroen;Berlingo;5490;Diesel;2013;296000;68;B9 mod.12
Seat;Ibiza Sport Coupé;5490;Benzín;2010;161000;77;3 (5 miest)
Audi;A3 Sportback;5490;Diesel;2012;327000;77;5 (5 miest)
Opel;Corsa;5500;Benzín;2013;146463;63;D mod.11
Volkswagen;Golf Variant;5500;Benzín;2009;160785;59;1K5
Volkswagen;Polo;5500;Benzín;2012;168800;51;6R
Peugeot;3008;5500;Diesel;2011;205000;82;0U
Volkswagen;Touran;5500;Benzín;2008;221300;75;5 (7 miest)
Audi;A3 Sportback;5500;Benzín;2009;157500;92;8PA mod.08
Škoda;Octavia Combi;5500;Diesel;2009;350692;77;5 (5 miest)
Volkswagen;Touran;5500;Diesel;2007;300000;77;5 (5 miest)
Mazda;2;5500;Benzín;2011;94000;63;BM
Volkswagen;Passat Variant;5499;Diesel;2006;230500;77;B6
Peugeot;207;5499;Benzín;2010;149982;88;5
Suzuki;Grand Vitara;5499;Diesel;2007;265912;95;5 (5 miest)
Nissan;Qashqai;5500;Benzín;2008;184969;84;5 (5 miest)
Jeep;Grand Cherokee;5500;Diesel;2005;270000;160;WH
Mercedes;B trieda;5500;Diesel;2007;249588;103;T245
Opel;Astra ST;5500;Benzín;2012;172000;85;5 (5 miest)
Nissan;Murano;5500;Diesel;2010;267000;140;5 (5 miest)
Mazda;CX-7;5500;Diesel;2010;284500;127;ER mod.10
Suzuki;Grand Vitara;5500;Diesel;2007;304000;95;JT mod.06
Subaru;Forester;5500;Benzín+Plyn;2004;223000;130;SG
BMW;rad 5;5500;Diesel;2004;328000;130;E60
Audi;A3 Sportback;5500;Diesel;2008;303720;77;8PA
Ford;Transit;5500;Diesel;2011;220000;77;5 (3 miesta)
Ford;Mondeo Combi;5500;Diesel;2008;157031;103;5 (5 miest)
BMW;rad 1;5500;Diesel;2010;229000;85;5 (5 miest)
Subaru;Libero;5500;Benzín;1991;49108;46;5 (6 miest)
Nissan;Terrano;5500;Diesel;2003;166300;113;5 (5 miest)
Suzuki;Swift;5500;Benzín;2013;187500;69;5 (5 miest)
Škoda;Fabia;5500;Benzín;2011;85763;63;5 (5 miest)
BMW;rad 5 Touring;5500;Diesel;2007;296800;173;E61 mod.07
Volkswagen;Polo;5500;Benzín;2010;224546;63;6R
BMW;rad 1;5592;Benzín;2004;90900;85;5 (5 miest)
Peugeot;508 SW;5590;Diesel;2011;277993;82;5 (5 miest)
Seat;Leon;5590;Benzín;2009;108700;92;1P1 mod.09
Citroen;C4;5590;Diesel;2014;230452;84;5 (5 miest)
Škoda;Fabia Combi;5625.00;Benzín;2011;141946;63;5 (5 miest)
Volvo;XC90;5625.00;Benzín;2004;244068;154;5
Volkswagen;Passat Variant;5625.00;Diesel;2009;189000;103;5
Ford;Focus Combi;5625.00;Benzín;2012;138000;92;5 (5 miest)
Nissan;Double Cab;5625.00;Diesel;2004;315500;98;4 (5 miest)
Škoda;Octavia;5616;Benzín;2006;83420;85;5 (5 miest)
Toyota;RAV4;5620.83;Diesel;2005;177006;85;5 (5 miest)
Volkswagen;T5 Transporter;5620.83;Diesel;2006;277001;62;4 (3 miesta)
Ford;Fiesta;5699;Benzín;2013;147488;44;5
Volkswagen;New Beetle Cabrio;5699;Diesel;2007;225310;77;4
Škoda;Octavia Combi;5690;Diesel;2012;226270;77;5 (5 miest)
Mercedes;B trieda;5690;Diesel;2006;157426;103;5
Škoda;Yeti;5690;Benzín;2010;230488;77;5 (5 miest)
Volkswagen;Golf Plus;5700;Diesel;2009;229430;77;521
Peugeot;508;5700;Diesel;2011;320800;120;8D
Dacia;Dokker;5700;Diesel;2016;244000;55;0S
BMW;rad 3 Touring;5700;Diesel;2011;298000;135;E91 mod.09
BMW;rad 5;5700;Benzín;2005;320000;141;E60
Ford;Focus;5700;Benzín;2006;237000;166;DA3
Honda;Jazz;5700;Benzín;2013;182000;66;GG
Citroen;C5;5750.00;Diesel;2012;293000;103;4 (5 miest)
Volkswagen;T5 Transporter;5750.00;Diesel;2006;260200;63;5 (3 miesta)
Alfa Romeo;Giulietta;5750.00;Diesel;2010;144000;77;5 (5 miest)
Seat;Ibiza;5750.00;Diesel;2011;168000;66;5 (5 miest)
Peugeot;208;5745.83;Benzín;2016;118756;50;3 (5 miest)
Peugeot;208;5745.83;Benzín;2016;123593;50;3 (5 miest)
Citroen;C3;5740.71;Benzín;2014;144000;50;5 (5 miest)
Škoda;Citigo;5791.67;Benzín;2014;83923;44;5 (4 miesta)
SsangYong;Rexton;5791.67;Diesel;2007;259750;121;5 (5 miest)
Mercedes;E trieda;5791.67;Benzín;1997;122624;137;4
Seat;Leon;5791.67;Benzín;2010;163000;77;5 (5 miest)
Nissan;Micra;5791.67;Benzín;2014;74000;59;5 (5 miest)
Hyundai;i30 CW;5791.67;Benzín;2011;107825;80;5 (5 miest)
Volvo;V50;5791.67;Diesel;2009;194000;132;5 (5 miest)
Citroen;C3 Picasso;5791.67;Diesel;2014;116670;68;5 (5 miest)
Dacia;Logan;5791.67;Benzín;2014;105906;55;5 (5 miest)
Opel;Movano;5791.67;Diesel;2006;283000;60;5 (3 miesta)
Toyota;RAV4;5800;Diesel;2006;220000;100;A3
Volkswagen;Sharan;5800;Diesel;2010;290000;85;7M mod.03
Peugeot;508;5800;Diesel;2013;243000;84;8D
Ford;S-Max;5800;Diesel;2009;198400;100;WA6
BMW;X5;5799;Diesel;2004;330320;160;5 (5 miest)
Volkswagen;Touran;5799;Benzín;2010;189693;103;5 (5 miest)
Škoda;Octavia Combi;5799;Diesel;2010;225800;77;5 (5 miest)
Mazda;6 Wagon;5829.17;Diesel;2008;146895;103;5 (5 miest)
Škoda;Octavia Combi;5829.17;Diesel;2008;230872;125;5 (5 miest)
Renault;Mégane Grandtour;5829.17;Diesel;2012;175435;81;5 (5 miest)
Citroen;C3;5829.17;Benzín;2010;95037;44;5 (5 miest)
Hyundai;H1;5829.17;Diesel;2010;272001;125;4 (3 miesta)
Opel;Corsa;5829.17;Benzín;2011;86066;63;5 (5 miest)
Volvo;V50;5829.17;Diesel;2009;267121;100;5 (5 miest)
Citroen;C8;5829.17;Diesel;2010;180069;100;5 (7 miest)
Toyota;RAV4;5829.17;Diesel;2004;186626;85;5 (5 miest)
Škoda;Octavia;5829.17;Diesel;2004;174000;81;5 (5 miest)
Fiat;Fiorino;5829.17;Benzín;2014;80640;54;3 (2 miesta)
Peugeot;308 SW;5800;Benzín;2018;59799;96;5 (5 miest)
Ford;S-Max;5833.33;Diesel;2007;272000;103;5
Jaguar;XK8 Coupé;5833.33;Benzín;1997;120770;209;3 (4 miesta)
Toyota;Corolla;5833.33;Diesel;2006;211000;66;5 (5 miest)
Renault;Mégane;5833.33;Diesel;2019;49904;85;4 (5 miest)
Škoda;Rapid;5833.33;Benzín;2016;232000;66;5 (5 miest)
Chevrolet;Cruze;5833.33;Benzín;2009;82150;83;4 (5 miest)
Volkswagen;Golf;5833.33;Benzín;2009;86724;59;5 (5 miest)
Volkswagen;LT;5833.29;Diesel;2004;205440;61;5 (3 miesta)
Peugeot;807;5833.29;Diesel;2010;228000;100;5 (7 miest)
Hyundai;i30;5833.29;Benzín;2011;63839;80;5 (5 miest)
Citroen;C8;5833.29;Diesel;2011;192000;120;5 (7 miest)
Opel;Zafira;5833.29;Benzín+Plyn;2013;176000;110;5 (7 miest)
Mini;Clubman;5824;Benzín;2011;105120;72;4 (4 miesta)
Fiat;Ducato;5824;Benzín+Plyn;2013;203800;100;4 (3 miesta)
Renault;Scénic;5824;Benzín;2009;113030;96;5 (5 miest)
Ford;Mondeo;5824;Benzín;2013;226000;118;5 (5 miest)
Ford;Mondeo;5824;Benzín;2011;178985;118;5 (5 miest)
Škoda;Octavia;5900;Diesel;2009;157000;77;1Z
Škoda;Octavia Combi;5900;Diesel;2010;285000;77;1Z mod.09
Mitsubishi;L 200;5900;Diesel;2005;328000;85;K7
Audi;A4 Avant;5900;Diesel;2008;228000;171;8E5 mod.05
Škoda;Fabia;5900;Benzín;2018;167000;70;NJ
BMW;rad 1;5900;Benzín;2007;127000;85;E87
Honda;CRX;5900;Benzín;1994;233910;92;Targa
Toyota;RAV4;5900;Benzín+Plyn;2006;280000;122;5 (5 miest)
Fiat;500;5900;Benzín;2015;124290;51;312 mod.15
Toyota;RAV4;5900;Diesel;2006;227000;100;A3
Citroen;C1;5900;Benzín;2014;69070;60;P mod.14
Volvo;C70 Cabrio;5900;Benzín;2010;259028;169;542
Volkswagen;Golf;5900;Diesel;2009;287000;81;5K1
BMW;rad 5;5900;Diesel;2008;331000;145;E60 mod.07
Hyundai;ix55;5900;Diesel;2010;392000;176;EN
Volkswagen;Passat CC;5900;Benzín;2009;420500;147;357
Mitsubishi;Pajero;5900;Benzín;1996;238000;153;V2/V4
Peugeot;308 CC;5900;Benzín;2011;210000;147;4B mod.11
Volkswagen;Passat Variant;5900;Diesel;2010;380000;103;B6
Land Rover;Freelander 2;5900;Diesel;2008;242000;118;FA
Fiat;500;5900;Benzín;2015;124290;51;3 (4 miesta)
Volkswagen;Touran;5900;Benzín;2008;240000;103;5 (5 miest)
Suzuki;SX4;5900;Benzín;2011;93941;82;EY mod.09
Dacia;Sandero;5916.67;Benzín;2014;122236;66;5 (5 miest)
Seat;Leon;5990;Diesel;2009;224000;77;1P1 mod.09
Toyota;Auris;5990;Benzín;2010;152220;97;5 (5 miest)
Suzuki;SX4;5990;Benzín;2011;249000;88;EY mod.09
Land Rover;Range Rover;5990;Diesel;2000;210585;100;LP
Škoda;Octavia Combi;5990;Diesel;2010;230000;103;1Z mod.09
Ford;Transit;5990;Diesel;2010;211790;103;N
BMW;rad 3 Touring;5990;Diesel;2008;260000;105;5 (5 miest)
Mini;Cooper;5990;Benzín;2008;156571;88;3
BMW;rad 3 Touring;5990;Diesel;2008;229682;130;E91 mod.09
Mercedes;E trieda;5990;Benzín;2002;311000;225;W211
Hyundai;ix55;5990;Diesel;2011;399500;176;5 (7 miest)
Škoda;Superb;5999;Diesel;2011;289000;103;3T
Volkswagen;Golf;5999;Diesel;2009;296816;77;5 (5 miest)
Subaru;Outback;5999;Diesel;2010;214492;110;5 (5 miest)
Fiat;Doblo;5999;Diesel;2016;245000;77;263 mod.15
Alfa Romeo;159;5999;Diesel;2012;201000;125;939
BMW;rad 3 Touring;5999;Benzín;2007;230000;105;E91
Aixam-Mega;400;6000;Diesel;2008;12000;12;4 (2 miesta)
BMW;rad 3;5999;Benzín;2007;260000;92;4 (5 miest)
Škoda;Octavia;5999;Diesel;2012;210000;77;1Z mod.09
Opel;Meriva;5999;Benzín;2011;135000;74;5 (5 miest)
Avia;Praga;6000;Diesel;1989;38727;88;Šedá
Škoda;Octavia;6000;Benzín;2012;240000;77;1Z mod.09
Peugeot;4007;6000;Diesel;2010;334000;115;W
Dacia;Lodgy;6000;Benzín;2015;162000;85;SD
Škoda;Octavia Combi;6000;Diesel;2012;250000;77;1Z mod.09
Volkswagen;Golf Variant;6000;Diesel;2015;265000;77;5 (5 miest)
Volkswagen;Tiguan;6000;Diesel;2015;106000;110;5N mod.11
Honda;CR-V;6000;Benzín;2004;198000;110;5 (5 miest)
BMW;X3;6000;Diesel;2006;299000;110;E83
Mini;Cooper;6000;Benzín;2008;194965;88;5 (4 miesta)
Seat;Leon;6000;Diesel;2007;220000;103;1P1
Volkswagen;Polo;6000;Diesel;2016;183100;55;6R mod.14
Alfa Romeo;Giulietta;6041.67;Benzín;2010;181284;88;5 (5 miest)
Dacia;Lodgy;6041.67;Benzín;2013;89000;85;5 (5 miest)
Mazda;3;6041.67;Benzín;2010;206500;77;5 (5 miest)
Peugeot;208;6041.67;Benzín;2013;184000;115;3 (5 miest)
Renault;Laguna;6041.67;Benzín;2007;166995;103;5 (5 miest)
Opel;Astra ST;6041.67;Benzín;2011;114000;85;5 (5 miest)
Volkswagen;Golf Plus;6032;Benzín;2008;157850;59;5 (5 miest)
Peugeot;208;6037.54;Benzín;2014;95000;60;5 (5 miest)
Volkswagen;Golf Plus;6037.50;Benzín;2010;149911;77;5 (5 miest)
Renault;Scénic;6037.50;Benzín;2014;67810;97;5 (7 miest)
Škoda;Octavia;6037.50;Benzín;2012;163405;90;5 (5 miest)
Opel;Astra;6050;Diesel;2015;240000;81;J mod.12
Škoda;Rapid;6100;Diesel;2013;243000;77;NH
KIA;Rio;6100;Benzín;2011;112150;62;5 (5 miest)
Toyota;Aygo;6100;Benzín;2019;155000;53;AB40 mod.18
Škoda;Yeti;6208.33;Benzín;2010;197000;77;5 (5 miest)
Suzuki;Grand Vitara;6208.33;Diesel;2006;204000;95;5 (5 miest)
Škoda;Fabia;6204.17;Benzín;2011;160000;63;5 (5 miest)
Alfa Romeo;Giulietta;6203.67;Diesel;2011;202000;77;5 (5 miest)
Fiat;Sedici;6203.67;Diesel;2012;225000;99;5 (5 miest)
Opel;Vivaro;6192;Diesel;2014;313500;84;4 (3 miesta)
Ford;Transit;6190;Diesel;2011;287000;63;3 (3 miesta)
Suzuki;SX4;6190;Benzín;2008;67146;79;5 (5 miest)
Volvo;XC90;6190;Diesel;2006;221157;120;5
Ford;C-Max;6190;Diesel;2012;171000;70;5 (5 miest)
Peugeot;3008;6200;Diesel;2014;282000;84;0U mod.14
Ford;Kuga;6200;Diesel;2008;219000;100;DM2
BMW;rad 5;6208.62;Benzín;1997;225628;110;4 (5 miest)
Dacia;Sandero;6199;Benzín;2013;78359;55;5 (5 miest)
Volkswagen;Jetta;6199;Benzín;2013;213000;77;162
Škoda;Fabia Combi;6208.38;Diesel;2016;266922;66;5 (5 miest)
Fiat;Ducato;6208.33;Diesel;2011;245000;74;5 (3 miesta)
Volkswagen;Polo;6208.33;Benzín;2010;167000;44;5 (5 miest)
Nissan;Micra;6208.33;Benzín;2017;173500;59;5 (5 miest)
Opel;Astra ST;6208.33;Benzín;2011;166000;88;5 (5 miest)
Škoda;Octavia Combi;6208.33;Benzín;2010;181134;90;5 (5 miest)
Fiat;Scudo;6208.33;Diesel;2016;350000;94;5 (3 miesta)
Citroen;C3 Picasso;6234;Benzín;2013;66200;70;5 (5 miest)
Nissan;Qashqai;6241.67;Diesel;2008;242000;110;5 (5 miest)
Volkswagen;Caddy;6241.67;Diesel;2006;204000;77;5 (5 miest)
Citroen;Berlingo;6214;Benzín;2010;167580;88;5 (5 miest)
Opel;Vivaro;6200;Diesel;2007;240000;84;5 (6 miest)
Seat;Ibiza Sport Coupé;6200;Benzín;2013;101200;63;5 (5 miest)
Seat;Alhambra;6200;Diesel;2007;346000;85;7M mod.01
Suzuki;Swift;6245.83;Benzín;2012;96000;69;5 (5 miest)
Škoda;Superb;6245.83;Diesel;2016;150000;140;5 (5 miest)
Volvo;XC90;6245.83;Benzín;2005;285006;200;5 (5 miest)
Citroen;Berlingo;6245.83;Diesel;2013;278000;55;5 (5 miest)
Suzuki;Swift;6245.83;Benzín;2011;98417;66;5 (5 miest)
Honda;CR-V;6245.83;Benzín;2004;147044;110;5 (5 miest)
Volkswagen;Touran;6245.83;Diesel;2007;284111;125;5 (5 miest)
Toyota;Auris;6245.83;Diesel;2009;192731;93;5 (5 miest)
Mercedes;CLC;6245.83;Diesel;2009;148001;110;3 (4 miesta)
Škoda;Fabia;6245.83;Benzín;2011;166000;63;5 (5 miest)
Hyundai;Santa Fe;6245.83;Diesel;2006;207300;110;5 (5 miest)
KIA;Venga;6245.83;Benzín;2014;143500;66;5 (5 miest)
Renault;Mégane;6251;Diesel;2011;161000;96;BZ
Volkswagen;Passat Variant;6250;Diesel;2010;238193;103;5
Ford;Focus Combi;6250;Diesel;2016;266410;110;5 (5 miest)
Nissan;X-Trail;6250;Diesel;2008;327000;110;T31
Škoda;Octavia;6300;Diesel;2012;158800;77;1Z mod.09
Peugeot;308 SW;6300;Diesel;2016;267500;85;5 (5 miest)
Lexus;GS;6300;Benzín+Plyn;2006;413780;208;S19
KIA;Cee’d;6300;Benzín;2015;241000;73;5 (5 miest)
KIA;Rio;6300;Benzín;2013;88900;62;0 (5 miest)
Volkswagen;Golf;6300;Diesel;2010;262000;77;5K1
Peugeot;508 SW;6300;Diesel;2011;185000;82;8E
Opel;Astra;6300;Benzín;2011;81236;103;J
Ford;Focus Combi;6300;Diesel;2014;215000;85;DYB
Volkswagen;Passat;6300;Diesel;2009;206000;125;B6
Mazda;6;6300;Benzín;2008;152000;88;GH
Škoda;Octavia;6366.67;Diesel;2011;159200;77;4 (5 miest)
Volkswagen;Caddy;6350;Diesel;2007;230000;77;5 (5 miest)
Škoda;Octavia Combi;6350;Benzín;2009;270000;118;1Z mod.09
Škoda;Octavia Combi;6350;Diesel;2014;369500;110;5E
Ford;Focus;6350;Benzín;2014;111704;92;DYB
BMW;rad 5;6350;Diesel;2007;290000;120;E60 mod.07
Volvo;XC90;6333.33;Diesel;2009;237571;136;4 (7 miest)
Toyota;Auris;6333.33;Diesel;2012;113000;66;5 (5 miest)
Volkswagen;Jetta;6400;Diesel;2013;252000;103;162
BMW;rad 3 Touring;6400;Diesel;2008;195000;105;E91
Volkswagen;Tiguan;6400;Benzín;2008;230000;110;5 (5 miest)
Ford;Transit Tourneo;6400;Diesel;2009;189600;85;N
Ford;Focus;6400;Benzín;2013;133000;92;DYB
Ford;C-Max;6400;Diesel;2012;157996;70;DXA
Mazda;6;6490;Benzín;2008;179930;108;GH
Hyundai;Santa Fe;6490;Diesel;2008;169450;114;5
Peugeot;308;6490;Diesel;2016;268952;73;5 (5 miest)
BMW;rad 3 Touring;6490;Diesel;2012;249100;105;E91 mod.09
Volkswagen;Sharan;6490;Diesel;2008;227193;103;5 (5 miest)
Suzuki;SX4;6499;Diesel;2011;168951;66;5
BMW;rad 1;6499;Benzín;2011;103645;105;5 (5 miest)
Peugeot;3008;6499;Diesel;2012;207600;82;0U
Dacia;Sandero;6499;Benzín;2015;137238;66;5
Honda;Jazz;6500;Hybrid (benzín/elektro);2020;40000;72;GR
Škoda;Rapid;6500;Benzín;2014;130000;77;NH
Suzuki;Splash;6500;Benzín;2014;61400;69;EX mod.12
Škoda;Octavia Combi;6500;Diesel;2010;244000;77;1Z mod.09
Volvo;V50;6500;Diesel;2007;221000;100;545/MW
Opel;Astra;6500;Benzín+Plyn;2016;285168;103;J mod.12
Opel;Astra;6500;Benzín+Plyn;2015;230000;103;4 (5 miest)
Mazda;6;6500;Benzín;2009;200000;108;GH
Škoda;Octavia;6500;Benzín;2003;240500;110;1U mod.01
Peugeot;308 SW;6500;Diesel;2016;252240;88;5 (5 miest)
Fiat;Doblo;6500;Benzín;2015;173300;70;263 mod.15
Opel;Insignia;6500;Diesel;2011;244000;118;0G-A
