name;type;price;fuel-type;year_of_make;kim;power;place
Renault;Mégane Grandtour;16700;Benzín;2017;90400;171;K9
Seat;Alhambra;16500;Diesel;2015;248000;130;71
Škoda;Superb Combi;15580;Diesel;2018;172300;88;3V
Nissan;e-NV200;14700;Elektro;2018;25767;80;40 kw
KIA;Cee’d;13500;Benzín;2017;142000;150;3 (5 miest)
Peugeot;508 SW;12500;Diesel;2014;225800;150;8E
Opel;Insignia;9100;Diesel;2014;177000;120;0G-A mod.13
Alfa Romeo;Giulietta;8000;Benzín;2011;81500;125;940
Škoda;Superb;7450;Diesel;2011;264960;103;3T
Mercedes;C trieda;7400;Diesel;2008;220000;125;W204
Lancia;Ypsilon;2190;Benzín;2008;107000;44;843
Volkswagen;Sharan;1000;Benzín+Plyn;2005;370157;150;4 (4 miesta)
Škoda;Superb Combi;38790;Hybrid (benzín/elektro);2020;52859;160;5 (5 miest)
Peugeot;2008;9700;Benzín;2014;88608;60;5 (5 miest)
Volkswagen;Scirocco;8200;Benzín;2010;189300;118;13
Volkswagen;Passat;1450;Benzín;1998;204000;110;4 (5 miest)
Mercedes;GLS;129000;Diesel;2023;2000;243;5 (6 miest)
Mercedes;G trieda;199500;Benzín;2018;37000;368;463
Mercedes;E trieda;75000;Benzín;2018;90000;450;W213
BMW;X4;49990;Diesel;2019;41000;240;G02
Audi;A7;37000;Diesel;2017;92000;235;4GA mod.15
Audi;Q7;33000;Diesel;2017;130000;160;4MB
Mercedes;CLA;31900;Benzín;2019;43000;115;C117 mod.16
Volkswagen;Passat Variant;30000;Diesel;2017;118970;176;B8
Volvo;XC90;29500;Diesel;2017;189200;173;5 (5 miest)
Hyundai;Santa Fe;26000;Diesel;2017;86000;147;DM mod.15
Lexus;NX;25400;Hybrid (benzín/elektro);2017;167000;114;5 (5 miest)
Renault;Koleos;23990;Diesel;2019;117000;140;5 (5 miest)
Ford;Transit Custom;22900;Diesel;2021;69000;77;2 (3 miesta)
Toyota;Corolla Verso;2399;Diesel;2003;461317;66;5 (5 miest)
Mazda;MX 5;2300;Benzín;1999;220000;103;NB
Seat;Leon;2010;Diesel;2001;304700;81;1M1
Peugeot;206;2000;Diesel;2002;280000;66;2A
Škoda;Fabia;1999;Benzín+Plyn;2004;161000;47;6Y
Renault;Clio;1899;Benzín;2006;266553;44;5 (5 miest)
Seat;Cordoba;1700;Benzín;2005;353146;55;6L mod.03
Škoda;Favorit;1700;Benzín;1989;129300;55;5 (5 miest)
KIA;Cee’d;1500;Benzín;2007;364871;90;5 (5 miest)
Fiat;Panda;1499;Benzín;2003;280949;40;5 (5 miest)
Renault;Clio;4499;Benzín;2007;64306;72;5 (5 miest)
Audi;TT;4490;Benzín;2004;275560;132;8N3
Land Rover;Freelander;4300;Diesel;2006;175000;82;LN mod.02
KIA;Soul;4300;Benzín;2009;150000;93;5 (5 miest)
Peugeot;308;4299;Diesel;2008;248000;100;4C
Citroen;C3 Picasso;4200;Benzín;2011;177000;70;SH
Honda;Civic;4200;Benzín;2006;259000;103;FK
Mazda;CX-7;4199;Benzín;2007;160000;191;5 (5 miest)
BMW;rad 1;4000;Diesel;2010;270000;85;E87 mod.07
Audi;A6;4000;Diesel;2005;321000;165;4F2
Suzuki;Swift;4000;Benzín;2007;165000;92;MZ
Peugeot;Partner;3999;Diesel;2012;355618;66;4 (2 miesta)
Mini;Cooper;3999;Benzín;2003;230592;85;3 (4 miesta)
Opel;Antara;5800;Diesel;2012;227500;135;L-A mod.11
Audi;A4 Avant;5800;Diesel;2010;270000;105;8K5
Seat;Leon;5800;Diesel;2009;149850;125;1P1 mod.09
